Name,MODEL,Classification,HUB_THICKNESS,DIAMETER,Direction,Performance_File,SHAFT_DIAMETER,PITCH,WEIGHT,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_DIAMETER,CREO_PITCH,CREO_HUB_THICKNESS,CREO_SHAFT_DIAMETER,CREO_WEIGHT,CREO_PROP_OFFSET,CREO_PTC_MATERIAL_NAME
apc_propellers_9x4_4SFR,apc_propellers_9x4_4SFR,Propeller,4.57,228.6,1.0,PER3_9x44SFR.dat,5.5,111.76,0.00653,85400.08708464768,1.9838393833601342e-08,12.179277236365184,0.0,0.0,0.0,12.17927800550778,0.0,0.0,0.0,24.306776116036293,12.145182637115184,0.0,0.0,0.0,12.145183406257779,0.0,0.0,0.0,24.306776116036293,,,228.6,111.76,4.57,5.5,0.00653,0.0,AIR_STP_TABLE
apc_propellers_4_75x4_75E,apc_propellers_4_75x4_75E,Propeller,7.62,120.65,1.0,PER3_475x475E.dat,6.35,120.65,0.0039900000000000005,25842.08143397241,2.1284616533212612e-08,1.7227174183360512,0.0,0.0,0.0,1.7227175205996652,0.0,0.0,0.0,3.373856978724111,1.6647981793360511,0.0,0.0,0.0,1.6647982815996651,0.0,0.0,0.0,3.373856978724111,,,120.65,120.65,7.62,6.35,0.0039900000000000005,0.0,AIR_STP_TABLE
apc_propellers_4_75x4_5E,apc_propellers_4_75x4_5E,Propeller,7.62,120.65,1.0,PER3_475x45E.dat,6.35,114.3,0.0039900000000000005,25842.08143397241,4.592805898597864e-08,3.7172888260425143,0.0,0.0,0.0,3.717289046707486,0.0,0.0,0.0,7.28012656875,3.659369587042514,0.0,0.0,0.0,3.6593698077074857,0.0,0.0,0.0,7.28012656875,,,120.65,114.3,7.62,6.35,0.0039900000000000005,0.0,AIR_STP_TABLE
apc_propellers_12x13N,apc_propellers_12x13N,Propeller,13.72,304.8,1.0,PER3_12x13N.dat,7.94,330.2,0.04708,159312.6484633275,5.419280744510963e-07,3184.124855148932,0.0,0.0,0.0,3184.125054363978,0.0,0.0,0.0,6300.21407416002,3181.909289180932,0.0,0.0,0.0,3181.909488395978,0.0,0.0,0.0,6300.21407416002,,,304.8,330.2,13.72,7.94,0.04708,0.0,AIR_STP_TABLE
apc_propellers_13x4_5MR,apc_propellers_13x4_5MR,Propeller,9.14,330.2,1.0,PER3_13x45MR.dat,6.35,114.3,0.02409,180867.53898921714,2.4080067075203158e-08,128.95922213595333,0.0,0.0,0.0,128.95923027334933,0.0,0.0,0.0,256.86917964990107,128.45610489495334,0.0,0.0,0.0,128.45611303234935,0.0,0.0,0.0,256.86917964990107,,,330.2,114.3,9.14,6.35,0.02409,0.0,AIR_STP_TABLE
apc_propellers_5_5x2_5,apc_propellers_5_5x2_5,Propeller,7.87,139.7,1.0,PER3_55x25.dat,4.76,63.5,0.00708,34191.889326729404,9.049064510729121e-09,1.3539864779330353,0.0,0.0,0.0,1.3539865617074542,0.0,0.0,0.0,2.6629520725249995,1.2443581649330353,0.0,0.0,0.0,1.2443582487074543,0.0,0.0,0.0,2.6629520725249995,,,139.7,63.5,7.87,4.76,0.00708,0.0,AIR_STP_TABLE
apc_propellers_11x12,apc_propellers_11x12,Propeller,15.24,279.4,1.0,PER3_11x12.dat,7.94,304.8,0.041960000000000004,136281.40903846375,3.482431234717313e-07,1612.7774141820378,0.0,0.0,0.0,1612.77751447286,0.0,0.0,0.0,3175.2120546769993,1610.3410319580378,0.0,0.0,0.0,1610.34113224886,0.0,0.0,0.0,3175.2120546769993,,,279.4,304.8,15.24,7.94,0.041960000000000004,0.0,AIR_STP_TABLE
apc_propellers_13x8E,apc_propellers_13x8E,Propeller,10.67,330.2,1.0,PER3_13x8E.dat,6.35,203.2,0.03098,182485.21259079257,3.31821584540986e-08,207.7581741008113,0.0,0.0,0.0,207.75818719114181,0.0,0.0,0.0,413.21603199974106,206.8764143703113,0.0,0.0,0.0,206.87642746064182,0.0,0.0,0.0,413.21603199974106,,,330.2,203.2,10.67,6.35,0.03098,0.0,AIR_STP_TABLE
apc_propellers_8x6SF,apc_propellers_8x6SF,Propeller,7.62,203.2,1.0,PER3_8x6SF.dat,6.35,152.4,0.00708,69811.62293265779,7.751494810502737e-09,4.98019809739039,0.0,0.0,0.0,4.9801984091140765,0.0,0.0,0.0,9.88632143468168,4.87742410939039,0.0,0.0,0.0,4.8774244211140765,0.0,0.0,0.0,9.88632143468168,,,203.2,152.4,7.62,6.35,0.00708,0.0,AIR_STP_TABLE
apc_propellers_9_5x7_5N,apc_propellers_9_5x7_5N,Propeller,14.73,241.3,1.0,PER3_95x75N.dat,6.35,190.5,0.02894,102857.52868855532,1.1722779327093881e-07,293.0711364134343,0.0,0.0,0.0,293.07115458454706,0.0,0.0,0.0,574.7279397090816,291.50133748193434,0.0,0.0,0.0,291.5013556530471,0.0,0.0,0.0,574.7279397090816,,,241.3,190.5,14.73,6.35,0.02894,0.0,AIR_STP_TABLE
